Order,A - URL,B - Venue Name,C - Phone,D - Venue Highlights,E - Guest Capacity,F - Address
147,https://www.wedding-spot.com/venue/1704/hotel-giraffe/,Hotel Giraffe,212-894-0497,"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Rentals included",40,"365 Park Avenue South , New York, NY 10016"
146,https://www.wedding-spot.com/venue/450/garys-loft/,Gary's Loft,917-837-2420,"Indoor and outdoor spaces,BYO,Valet parking",150,"28 West 36th Street , New York, NY 10018"
135,https://www.wedding-spot.com/venue/13686/lovecraft/,Lovecraft,917-612-3855,"Rentals included,Valet parking",300,"50 Avenue B , New York, NY 10009"
134,https://www.wedding-spot.com/venue/1714/rubin-museum-of-art/,Rubin Museum of Art,212-620-5000 ext. 292,"Rentals included,Valet parking",150,"150 West 17th Street , New York, NY 10011"
133,https://www.wedding-spot.com/venue/5061/il-buco/,Il Buco,917-484-4016,"BYO,Rentals included,Valet parking",70,"47 Bond Street , New York, NY 10012"
137,https://www.wedding-spot.com/venue/1625/yachts-for-all-seasons-hybrid/,Yachts For All Seasons: Hybrid,212-534-6380,"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Rentals included",250,"Pier 40 at Hudson River Park , New York, NY 10011"
131,https://www.wedding-spot.com/venue/13512/the-bogardus-mansion/,The Bogardus Mansion,646-729-6139,"Rehearsal dinner and bridal shower,BYO,Valet parking",125,"75 Murray Street , New York, NY 10007"
130,https://www.wedding-spot.com/venue/16459/gemelli-and-the-ledge/,Gemelli and the Ledge,,"Indoor and outdoor spaces,BYO",250,"48 Cypress Ave Brooklyn, Brooklyn, NY 11237"
136,https://www.wedding-spot.com/venue/11667/the-mariner-iii/,The Mariner III,917-471-0585,Rentals included,90,"Pier 60 Chelsea Piers West 23rd Street &amp; Hudson River Park, New York, NY 10011"
132,https://www.wedding-spot.com/venue/13533/events-at-stone-park/,Events at Stone Park,718-369-0082,"Upgraded rentals included,Rentals included,Valet parking",60," 357 3rd Street , Brooklyn, NY 11215"
129,https://www.wedding-spot.com/venue/6204/colonial-industrial-quarter/,Colonial Industrial Quarter,610-882-0450 ext. 20,"Indoor and outdoor spaces,BYO,Valet parking",250,"459 Old York Road , Bethlehem, PA 18018"
128,https://www.wedding-spot.com/venue/13786/landmark-on-main-street/,Landmark On Main Street,516-767-1384,Valet parking,425,"232 Main Street , Port Washington, NY 11050"
127,https://www.wedding-spot.com/venue/248/the-pavilion-at-sunken-meadow/,The Pavilion at Sunken Meadow,,"2x award winner,Indoor and outdoor spaces,Rentals included",300,"Sunken Meadow State Park Parking Field #2, Kings Park, NY 11754"
126,https://www.wedding-spot.com/venue/5222/new-york-water-taxi/,New York Water Taxi,212-630-8121,"Indoor and outdoor spaces,Rentals included,Valet parking",200,"83 North River Piers 2th Ave &amp; 42nd, New York, NY 10036"
123,https://www.wedding-spot.com/venue/231/le-cirque/,Le Cirque,212-405-5095,Rentals included,170,"One Beacon Court 151 East 58th Street, New York, NY 10022"
122,https://www.wedding-spot.com/venue/8677/blue-fin-times-square/,Blue Fin Times Square,212-331-0313,"Upgraded rentals included,Rentals included,Valet parking",275,"1567 Broadway , New York, NY 10036"
124,https://www.wedding-spot.com/venue/14879/heritage-club-at-bethpage/,Heritage Club at Bethpage,,"Indoor and outdoor spaces,Upgraded rentals included,Rentals included",500,"99 Quaker Meeting House Road , Farmingdale, NY 11735"
125,https://www.wedding-spot.com/venue/13749/sixth-floor-loft/,Sixth Floor Loft,212-982-8113,Valet parking,60,"873 Broadway , New York, NY 10003"
120,https://www.wedding-spot.com/venue/264/the-mansion-at-west-sayville/,The Mansion at West Sayville,,"Indoor and outdoor spaces,Rentals included,Valet parking",200,"200 Main Street , West Sayville, NY 11796"
121,https://www.wedding-spot.com/venue/273/360-east-at-montauk-downs/,360 East at Montauk Downs,,"Award winner,Indoor and outdoor spaces,Rentals included",218,"50 South Fairview Avenue , Montauk, NY 11954"
119,https://www.wedding-spot.com/venue/9318/the-bryant-park-hotel/,The Bryant Park Hotel,212-869-0100,"Rehearsal dinner and bridal shower,Valet parking",120,"40 West 40th Street , New York, NY 10018"
117,https://www.wedding-spot.com/venue/1613/riff-raffs/,Riff Raffs,212-838-2061 ext. 2326,"Rentals included,Valet parking",40,"360 Park Avenue South , New York, NY 10010"
118,https://www.wedding-spot.com/venue/5071/first-unitarian-congressional-society-brooklyn/,First Unitarian Congressional Society Brooklyn,718-404-2348,"BYO,Valet parking",400,"116 Pierrepont Street , Brooklyn, NY 11201"
116,https://www.wedding-spot.com/venue/2476/inside-park-at-st-barts/,Inside Park at St. Bart's,347-658-2954,Valet parking,75,"325 Park Avenue , New York, NY 10022"
114,https://www.wedding-spot.com/venue/1343/the-mansion-at-oyster-bay/,The Mansion at Oyster Bay,,"Award winner,Indoor and outdoor spaces,Upgraded rentals included",288,"1 S Woods Road , Woodbury, NY 11797"
113,https://www.wedding-spot.com/venue/14654/fifth-avenue-presbyterian-church/,Fifth Avenue Presbyterian Church,212-247-0490 ext. 3018,Valet parking,1800,"7 West 55th Street , New York, NY 10019"
112,https://www.wedding-spot.com/venue/13700/the-james-new-york-soho/,The James New York - SoHo,212-465-2000,"Indoor and outdoor spaces,BYO,Upgraded rentals included",100,"27 Grand Street , New York, NY 10013"
115,https://www.wedding-spot.com/venue/13702/the-james-new-york-nomad/,The James New York NoMad,646-424-2621,"Rentals included,Valet parking",120,"22 East 29th Street , New York, NY 10016"
111,https://www.wedding-spot.com/venue/8584/the-library-hotel/,The Library Hotel,212-204-5408,"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Upgraded rentals included",50,"299 Madison Avenue,  , New York, NY 10017"
101,https://www.wedding-spot.com/venue/285/the-view-at-oakdale/,The View at Oakdale,,"Indoor and outdoor spaces,Rentals included,Valet parking",220,"3 Consuelo Place , Oakdale, NY 11769"
110,https://www.wedding-spot.com/venue/3228/inn-at-great-neck-world-hotels-crafted/,"Inn at Great Neck, World Hotels Crafted",516-773-2000,"Rentals included,Valet parking",135,"30 Cutter Mill Road , Great Neck, NY 11021"
99,https://www.wedding-spot.com/venue/6570/hilton-garden-inn-hamilton/,Hilton Garden Inn Hamilton,609-570-4160,"Indoor and outdoor spaces,Upgraded rentals included,Rentals included",200,"800 US Highway 130 , Hamilton Township, NJ 08691"
100,https://www.wedding-spot.com/venue/12847/bowmans-hill-wildflower-preserve/,Bowman's Hill Wildflower Preserve,215-860-1859,"BYO,Valet parking",200,"1635 River Road , New Hope, PA 18938"
98,https://www.wedding-spot.com/venue/5201/updike-farmstead/,Updike Farmstead,609-921-6748 ext. 105,"Indoor and outdoor spaces,BYO,Valet parking",200,"354 Quaker Road , Princeton, NJ 08540"
97,https://www.wedding-spot.com/venue/4914/riverwinds-community-center/,RiverWinds Community Center,856-251-1410 ext. 110,"Indoor and outdoor spaces,BYO,Valet parking",500,"1000 Riverwinds Drive , West Deptford, NJ 08086"
96,https://www.wedding-spot.com/venue/4909/bayonet-farm/,Bayonet Farm,732-946-2820 ext. 1224,"Indoor and outdoor spaces,BYO,Valet parking",200,"41 Middle Town Road , Holmdel, NJ 07733"
95,https://www.wedding-spot.com/venue/4887/sayen-house-and-gardens/,Sayen House and Gardens,609-890-3874,"Award winner,Indoor and outdoor spaces,BYO",100,"155 Hughes Drive , Hamilton Township, NJ 08690"
94,https://www.wedding-spot.com/venue/4784/parsonage-barn/,Parsonage Barn,609-802-4221,,80,"3 Cranbury Neck Road , Cranbury, NJ 08512"
93,https://www.wedding-spot.com/venue/4763/the-cranbury-inn/,The Cranbury Inn,609-655-5595,"Rentals included,Valet parking",240,"21 South Main Street , Cranbury, NJ 08512"
91,https://www.wedding-spot.com/venue/4592/doubletree-suites-by-hilton-mt-laurel/,DoubleTree Suites by Hilton Mt. Laurel,856-778-8999 ext. 423,"Indoor and outdoor spaces,Rentals included,Valet parking",220,"515 Fellowship Road , North Mount Laurel, NJ 08054"
92,https://www.wedding-spot.com/venue/4656/aloft-mount-laurel/,Aloft Mount Laurel,856-234-1880,"Indoor and outdoor spaces,Rentals included,Valet parking",320,"558 Fellowship Road , Mt Laurel, NJ 08054"
90,https://www.wedding-spot.com/venue/4591/the-kove/,The Kove,856-546-0808,"Rentals included,Valet parking",200,"20 West Atlantic Avenue , Audubon, NJ 08106"
88,https://www.wedding-spot.com/venue/4498/the-haddon-fortnightly/,The Haddon Fortnightly,856-428-9040,"BYO,Valet parking",250,"301 Kings Highway East , Haddonfield, NJ 08033"
89,https://www.wedding-spot.com/venue/4574/salt-creek-grille-rumson/,Salt Creek Grille Rumson,732-933-9272,"Indoor and outdoor spaces,Upgraded rentals included,Rentals included",150,"4 Bingham Avenue , Rumson, NJ 07760"
87,https://www.wedding-spot.com/venue/4495/the-dutchmans-brauhaus/,The Dutchman's Brauhaus,609-494-6910,"Indoor and outdoor spaces,Rentals included,Valet parking",135,"2500 East Bay Avenue , Manahawkin, NJ 08050"
86,https://www.wedding-spot.com/venue/4390/the-marian-house-by-willow-sage-catering-and-events/,The Marian House by Willow & Sage Catering and Events,732-712-1287,"Indoor and outdoor spaces,BYO,Rentals included",275,"507 Kings Highway South , Cherry Hill, NJ 08034"
85,https://www.wedding-spot.com/venue/4389/chalfonte-hotel/,Chalfonte Hotel,609-884-8409,"Indoor and outdoor spaces,Valet parking",175,"301 Howard Street , Cape May, NJ 08204"
83,https://www.wedding-spot.com/venue/3166/sheraton-eatontown-hotel/,Sheraton Eatontown Hotel,732-542-6500,"Indoor and outdoor spaces,Upgraded rentals included,Rentals included",1,"6 Industrial Way East , Eatontown, NJ 07724"
84,https://www.wedding-spot.com/venue/4362/port-o-call-hotel/,Port-O-Call Hotel,800-334-4546 ext. 7352,"BYO,Valet parking",90,"1510 Boardwalk , Ocean City, NJ 08226"
82,https://www.wedding-spot.com/venue/3100/e-lounge/,E Lounge,856-768-7666,"BYO,Rentals included,Valet parking",200,"807 Rt 70 West , Cherry Hill, NJ 08002"
79,https://www.wedding-spot.com/venue/2098/lambertville-station-restaurant-inn/,Lambertville Station Restaurant & Inn,609-397-9077,"Indoor and outdoor spaces,Rentals included,Valet parking",200,"11 Bridge Street , Lambertville, NJ 08530"
81,https://www.wedding-spot.com/venue/2694/carmines-atlantic-city/,Carmine's Atlantic City,212-221-3800 ext. 822,"Upgraded rentals included,Valet parking",150,"The Quarter at Tropicana 2801 Pacific Avenue, Atlantic City, NJ 08401"
80,https://www.wedding-spot.com/venue/2146/clarion-hotel-conference-center/,Clarion Hotel & Conference Center,732-341-6215,"Rentals included,Valet parking",200,"815 Route 37 West , Toms River, NJ 08755"
77,https://www.wedding-spot.com/venue/2009/harbor-pines-golf-club/,Harbor Pines Golf Club,609-927-0006 ext. 13,"Indoor and outdoor spaces,Rentals included,Valet parking",200,"500 Saint Andrews Drive , Egg Harbor Township, NJ 08234"
78,https://www.wedding-spot.com/venue/2019/centerton-country-club-event-center/,Centerton Country Club & Event Center,856-358-3325,"Indoor and outdoor spaces,Rentals included,Valet parking",500,"1022 Almond Road , Pittsgrove Township, NJ 08318"
76,https://www.wedding-spot.com/venue/1889/ron-jaworskis-blue-heron-pines-golf-club/,Ron Jaworski's Blue Heron Pines Golf Club,609-965-1800 ext. 2,"Indoor and outdoor spaces,Rentals included,Valet parking",175,"550 Country Club Drive , Egg Harbor City, NJ 08215"
75,https://www.wedding-spot.com/venue/1888/waterview-pavilion/,Waterview Pavilion,732-681-4600,"Award winner,Rentals included,Valet parking",250,"800 River Road , Belmar, NJ 07719"
74,https://www.wedding-spot.com/venue/1876/jumping-brook-country-club/,Jumping Brook Country Club,732-922-8200 ext. 37,"Indoor and outdoor spaces,Rentals included,Valet parking",400,"210 Jumping Brook Road , Neptune City, NJ 07753"
66,https://www.wedding-spot.com/venue/1197/the-smithville-inn/,The Smithville Inn,609-652-7777,"Indoor and outdoor spaces,Rentals included,Valet parking",170,"1 North New York Road (Route 9) , Galloway, NJ 08205"
65,https://www.wedding-spot.com/venue/1120/greate-bay/,Greate Bay,609-927-5071,"Award winner,Indoor and outdoor spaces,Rentals included",300," 901 Mays Landing Road , Somers Point, NJ 08244"
64,https://www.wedding-spot.com/venue/1014/avalon-yacht-club/,Avalon Yacht Club,609-967-4444,"Indoor and outdoor spaces,Rentals included,Valet parking",225,"704 7th Street , Avalon, NJ 08202"
63,https://www.wedding-spot.com/venue/768/ocean-club-hotel/,Ocean Club Hotel,609-884-7000 ext. 702,"Indoor and outdoor spaces,Valet parking",150,"1035 Beach Avenue , Cape May, NJ 08204"
62,https://www.wedding-spot.com/venue/760/ron-jaworskis-valleybrook-country-club/,Ron Jaworski's Valleybrook Country Club,856-227-3171 ext. 3,"Indoor and outdoor spaces,Upgraded rentals included,Rentals included",220,"200 Golfview Drive , Blackwood, NJ 08012"
61,https://www.wedding-spot.com/venue/750/the-shore-club/,The Shore Club,732-449-3666,"Indoor and outdoor spaces,Rentals included,Valet parking",250,"700 Highway 71 , Spring Lake, NJ 07762"
60,https://www.wedding-spot.com/venue/749/battleground-country-club/,Battleground Country Club,732-462-7575,"Indoor and outdoor spaces,Valet parking",400," 1 Covenhoven Road , Manalapan, NJ 07726"
59,https://www.wedding-spot.com/venue/746/linwood-country-club/,Linwood Country Club,609-927-6134,"Indoor and outdoor spaces,BYO,Rentals included",275,"500 Shore Road , Linwood, NJ 08221"
56,https://www.wedding-spot.com/venue/700/the-gables-historic-inn-restaurant/,The Gables Historic Inn & Restaurant,917-836-3900,"Indoor and outdoor spaces,BYO,Upgraded rentals included",200,"212 Centre Street  , Beach Haven, NJ 08008"
58,https://www.wedding-spot.com/venue/739/nicolosi-caterers/,Nicolosi Caterers,856-845-3437,"Indoor and outdoor spaces,Rentals included,Valet parking",400,"1 Hessian Avenue , West Deptford, NJ 08096"
57,https://www.wedding-spot.com/venue/727/ron-jaworskis-ramblewood-country-club/,Ron Jaworski's Ramblewood Country Club,856-235-2118 ext. 12,"Award winner,Indoor and outdoor spaces,Valet parking",400,"200 Country Club Parkway , Mount Laurel, NJ 08054"
55,https://www.wedding-spot.com/venue/696/colts-neck-inn-steak-chop-house/,Colts Neck Inn Steak & Chop House,732-462-0383,"Indoor and outdoor spaces,Rentals included,Valet parking",180,"6 County Road, Route 537 West , Colts Neck, NJ 07722"
52,https://www.wedding-spot.com/venue/663/oyster-point-hotel/,Oyster Point Hotel,732-530-8200,"Rentals included,Valet parking",220,"146 Bodman Place , Red Bank, NJ 07701"
54,https://www.wedding-spot.com/venue/683/wildwoods-convention-center/,Wildwoods Convention Center,609-846-2664,"Indoor and outdoor spaces,Rentals included,Valet parking",1400,"4501 Boardwalk , Wildwood, NJ 08260"
53,https://www.wedding-spot.com/venue/664/molly-pitcher-inn/,Molly Pitcher Inn,732-530-8200 ext. 155,"Accommodation offered,Indoor and outdoor spaces,Valet parking",300,"88 Riverside Avenue , Red Bank, NJ 07701"
51,https://www.wedding-spot.com/venue/661/the-grand-hotel/,The Grand Hotel,609-884-5611 ext. 519,"Indoor and outdoor spaces,Valet parking",300,"1045 Beach Avenue  , Cape May, NJ 08204"
50,https://www.wedding-spot.com/venue/599/waters-edge-on-the-bay/,Waters Edge on the Bay,732-269-3000,"Award winner,Indoor and outdoor spaces,Rentals included",200,"125 Bayview Avenue , Bayville, NJ 08721"
48,https://www.wedding-spot.com/venue/597/sterling-ballroom-at-the-doubletree-by-hilton-tinton-falls/,Sterling Ballroom at the DoubleTree by Hilton Tinton Falls,732-780-3405,"3x award winner,Indoor and outdoor spaces,Upgraded rentals included",1,"700 Hope Road , Tinton Falls, NJ 07724"
47,https://www.wedding-spot.com/venue/596/atlantis-ballroom-at-the-days-hotel-toms-river-jersey-shore/,Atlantis Ballroom at the Days Hotel Toms River - Jersey Shore,732-780-3405,,1,"290 Route 37 East , Toms River, NJ 08753"
46,https://www.wedding-spot.com/venue/595/versailles-ballroom-at-the-ramada-toms-river/,Versailles Ballroom at the Ramada Toms River,732-719-1206,"Upgraded rentals included,Rentals included",1,"2373 Route 9 , Toms River, NJ 08755"
49,https://www.wedding-spot.com/venue/598/crystal-ballroom-at-the-radisson-freehold/,Crystal Ballroom at the Radisson Freehold,732-780-3405,"Award winner,Indoor and outdoor spaces,Rentals included",1,"50 Gibson Place , Freehold, NJ 07728"
45,https://www.wedding-spot.com/venue/594/windsor-ballroom-at-the-holiday-inn-east-windsor/,Windsor Ballroom at the Holiday Inn East Windsor,732-780-3405,"Award winner,Indoor and outdoor spaces,Upgraded rentals included",1,"399 Monmouth Street , East Windsor, NJ 08520"
44,https://www.wedding-spot.com/venue/589/ocean-city-yacht-club/,Ocean City Yacht Club,609-457-7112,"Award winner,Indoor and outdoor spaces,BYO",220,"100 Bay Road , Ocean City, NJ 08226"
43,https://www.wedding-spot.com/venue/588/southern-mansion/,Southern Mansion,609-884-7171,"Indoor and outdoor spaces,BYO,Rentals included",150,"720 Washington Street , Cape May, NJ 08204"
42,https://www.wedding-spot.com/venue/14517/st-joseph-polish-catholic-apostolate-of-the-diocese-of-camden/,St. Joseph Polish Catholic Apostolate of the Diocese of Camden,856-963-1285,Valet parking,900,"1010 Liberty Street , Camden, NJ 08104"
41,https://www.wedding-spot.com/venue/14466/holmdel-community-united-church-of-christ/,Holmdel Community United Church of Christ,732-946-8821,"BYO,Valet parking",200,"40 Main Street , Holmdel, NJ 07733"
40,https://www.wedding-spot.com/venue/13590/woodsedge-farm-weddings-events/,WoodsEdge Farm Weddings & Events,609-397-2212,"Indoor and outdoor spaces,BYO,Valet parking",400,"78 Bowne Station Road , Stockton, NJ 08559"
39,https://www.wedding-spot.com/venue/13552/the-chapel-at-the-historic-village-of-allaire/,The Chapel at the Historic Village of Allaire,732-919-3500 ext. 14,"Indoor and outdoor spaces,Valet parking",100,"4263 Atlantic Avenue , Farmingdale, NJ 07727"
38,https://www.wedding-spot.com/venue/12681/caffe-aldo-lamberti/,Caffe Aldo Lamberti,856-663-7887,"Rentals included,Valet parking",175,"2011 Marlton Pike West , Cherry Hill, NJ 08002"
36,https://www.wedding-spot.com/venue/12608/cape-cod-inn-motel/,Cape Cod Inn Motel,609-522-1177,"BYO,Valet parking",95,"6109 Atlantic Avenue , Wildwood, NJ 08260"
34,https://www.wedding-spot.com/venue/11347/the-claridge-hotel/,The Claridge Hotel,609-487-4378,"Indoor and outdoor spaces,Rentals included,Valet parking",600,"123 South Indiana Avenue , Atlantic City, NJ 08401"
35,https://www.wedding-spot.com/venue/11585/maggianos-little-italy-cherry-hill/,Maggiano's Little Italy- Cherry Hill,856-792-4480,,170,"2000 New Jersey 38 , Cherry Hill, NJ 08002"
33,https://www.wedding-spot.com/venue/11114/porta-pizzeria-asbury-park/,Porta Pizzeria Asbury Park,732-740-1722,"Indoor and outdoor spaces,Rentals included,Valet parking",200,"911 Kingsley Street , Asbury Park, NJ 07712"
32,https://www.wedding-spot.com/venue/9937/the-windrift-avalon/,The Windrift- Avalon,609-368-5175 ext. 134,"Indoor and outdoor spaces,Valet parking",250,"105 80th Street , Avalon, NJ 08202"
31,https://www.wedding-spot.com/venue/9821/morven-museum-garden/,Morven Museum & Garden,609-826-1222,"Indoor and outdoor spaces,BYO",450,"55 Stockton Street , Princeton, NJ 08540"
30,https://www.wedding-spot.com/venue/9431/hopewell-valley-vineyards/,Hopewell Valley Vineyards,609-737-4465,"Indoor and outdoor spaces,Valet parking",400,"46 Yard Road , Pennington, NJ 08534"
28,https://www.wedding-spot.com/venue/9190/tim-mcloones-supper-club/,Tim McLoone's Supper Club,732-774-1155,"Indoor and outdoor spaces,Valet parking",160,"1200 Ocean Avenue , Asbury Park, NJ 07712"
29,https://www.wedding-spot.com/venue/9346/liberty-lake-picnic/,Liberty Lake Picnic,609-499-0432,"BYO,Rentals included,Valet parking",2500,"1195 Florence Columbus Road , Bordentown, NJ 08505"
27,https://www.wedding-spot.com/venue/9165/leftys-tavern/,Lefty's Tavern,609-607-0707,"Indoor and outdoor spaces,Rentals included,Valet parking",170,"547 North Main Street , Barnegat, NJ 08005"
26,https://www.wedding-spot.com/venue/9161/american-legion-post-129/,American Legion Post 129,732-551-2819,Valet parking,200,"2025 Church Road , Toms River, NJ 08753"
24,https://www.wedding-spot.com/venue/18060/millennium-hilton-new-york-one-un-plaza/,Millennium Hilton New York One UN Plaza,212-702-5003,"Upgraded rentals included,Rentals included,Valet parking",200,"One UN Plaza , New York, NY 10017"
25,https://www.wedding-spot.com/venue/15477/the-rockleigh/,The Rockleigh,201-768-7171 ext. 121,"Award winner,Indoor and outdoor spaces",800,"26 Paris Avenue , Rockleigh, NJ 07647"
23,https://www.wedding-spot.com/venue/3184/cairnwood-estate/,Cairnwood Estate,215-947-2004,"3x award winner,Indoor and outdoor spaces,BYO",250,"1005 Cathedral Road , Bryn Athyn, PA 19009"
22,https://www.wedding-spot.com/venue/15714/the-arts-ballroom/,The Arts Ballroom,215-621-8561,"Upgraded rentals included,Rentals included,Valet parking",230,"1324 Locust Street , Philadelphia, PA 19107"
20,https://www.wedding-spot.com/venue/3314/goggleworks-center-of-the-arts/,GoggleWorks Center of the Arts,610-374-4600 ext. 115,"Award winner,BYO,Valet parking",215,"201 Washington Street , Reading, PA 19601"
19,https://www.wedding-spot.com/venue/16087/the-german-society-of-pennsylvania/,The German Society of Pennsylvania,,"Indoor and outdoor spaces,BYO,Valet parking",200,"611 Spring Garden Street , Philadelphia, PA 19123"
21,https://www.wedding-spot.com/venue/16831/prallsville-mills/,Prallsville Mills,609-397-3586,Indoor and outdoor spaces,150,"33 Risler Street , Stockton, NJ 08559"
18,https://www.wedding-spot.com/venue/14198/the-benjamin-royal-sonesta-new-york/,The Benjamin Royal Sonesta New York,212-715-2500,"Indoor and outdoor spaces,Rentals included,Valet parking",100,"125 East 50th Street , New York, NY 10022"
16,https://www.wedding-spot.com/venue/16839/sheraton-lincoln-harbor-hotel/,Sheraton Lincoln Harbor Hotel,,"Upgraded rentals included,Rentals included",110,"500 Harbor Blvd , Weehawken, NJ 07086"
